,n,total,Accuracy mean,Accuracy std,G-Mean mean,G-Mean std,F1 mean,F1 std
Baseline,10,10,0.8414982484505524,0.01589781687053153,0.42967844219897805,0.03810220992716972,0.21232877097992361,0.02140923905859211
SMOTE,10,10,0.8229048773915387,0.01031894438126317,0.4317987793009993,0.029257824897628598,0.1995271869578706,0.01813956090443538
Balanced Weights,10,10,0.8390460792239288,0.010519694125975053,0.41025273864629774,0.026553004402187583,0.19504568780800716,0.020633395614236757
BMR,10,10,0.8528967933171652,0.01797424065921173,0.40545983403958763,0.04930982764398245,0.20246414593534595,0.02536525010526093
Threshold,10,10,0.8442468337375371,0.019099599293628065,0.4218626528525277,0.04142535132095831,0.20854181262508723,0.021484984942196958
Slacks Deltas,10,10,0.7854486661277283,0.03272267344529618,0.4865173187335422,0.04466867159622197,0.2178994010795467,0.017699077174408058
Min Deltas,10,10,0.7809754783077337,0.04121415845144263,0.4905186898992918,0.04446825755809929,0.21935435440326123,0.018583273847291634
Max Deltas,10,10,0.8317704122877931,0.10293682570916485,0.4018937351007983,0.059744557517182946,0.19758470734949907,0.02097799554425244
Avg Deltas,10,10,0.8315278900565884,0.10282905569043924,0.40348096097560193,0.05861728979002283,0.1986727296545457,0.02018970281566486
F Deltas,10,10,0.7776071139854486,0.04039462437334276,0.49338191734722214,0.04541844379102297,0.21941919029694867,0.018056986695446278
CP Sum,10,10,0.8402317434653732,0.01144421076684551,0.43106330825173816,0.03604689617526495,0.2121142954367949,0.021862447291102278
CP Minimax,10,10,0.8178119105362436,0.007888540167564287,0.4631714720580734,0.030891278056576463,0.21978418127508523,0.02056283631254233
DKW Sum,10,10,0.8402317434653732,0.01144421076684551,0.43106330825173816,0.03604689617526495,0.2121142954367949,0.021862447291102278
DKW Minimax,10,10,0.808542171921315,0.008578218709382383,0.47595906539202665,0.03110281239702039,0.2230364782254713,0.01994365302132034
